block,year,compost_added,winter_cover_freq,cover_crop_type,cover_crop_seeding_rate,TOC_mg_ha,TON_ma_ha
1,7,1,4,3,3,46,4.2
2,7,1,4,3,3,37,3.5
3,7,1,4,3,3,37,3.6
4,7,1,4,3,3,40,3.8
1,7,1,4,1,1,36,3.6
2,7,1,4,1,1,47,4.4
3,7,1,4,1,1,42,4.2
4,7,1,4,1,1,37,3.7
1,7,1,4,1,3,52,4.9
2,7,1,4,1,3,46,4.4
3,7,1,4,1,3,34,3.1
4,7,1,4,1,3,34,3.1
1,8,0,1,2,3,22,2.2
2,8,0,1,2,3,17,1.9
3,8,0,1,2,3,18,1.9
4,8,0,1,2,3,24,2.5
1,8,1,1,2,3,24,2.4
2,8,1,1,2,3,37,3.7
3,8,1,1,2,3,26,2.5
4,8,1,1,2,3,33,3.3
1,8,1,4,2,1,36,3.5
2,8,1,4,2,1,30,3
3,8,1,4,2,1,31,3
4,8,1,4,2,1,32,3.2
1,8,1,4,2,3,40,3.9
2,8,1,4,2,3,28,2.9
3,8,1,4,2,3,31,3.2
4,8,1,4,2,3,32,3.2
1,8,1,4,3,1,34,3.2
2,8,1,4,3,1,38,3.6
3,8,1,4,3,1,28,2.7
4,8,1,4,3,1,32,3.1
1,8,1,4,3,3,38,3.5
2,8,1,4,3,3,33,3.3
3,8,1,4,3,3,30,3.1
4,8,1,4,3,3,31,3.1
1,8,1,4,1,1,28,2.9
2,8,1,4,1,1,30,3
3,8,1,4,1,1,36,3.5
4,8,1,4,1,1,43,4
1,8,1,4,1,3,35,3.3
2,8,1,4,1,3,29,2.8
3,8,1,4,1,3,32,3.1
4,8,1,4,1,3,32,3.2
